,clouds.all,coord.lat,coord.lon,dt,main.humidity,main.temp_max,name,sys.country,wind.speed
356,0,49.17,125.23,1554221385,48,19.22,Nenjiang,CN,3.71
357,100,-38.66,178.02,1554220808,97,54.0,Gisborne,NZ,5.01
358,44,2.1,99.83,1554221385,88,73.58,Rantauprapat,ID,2.48
359,0,-14.66,17.68,1554221372,18,90.5,Menongue,AO,4.27
360,20,-32.03,-52.1,1554217200,58,84.2,Rio Grande,BR,3.71
361,80,44.18,66.74,1554221386,59,58.91,Shieli,KZ,15.57
362,0,43.31,129.76,1554221386,49,20.48,Wangqing,CN,4.5
363,40,-5.2,-35.46,1554220800,55,89.6,Touros,BR,11.41
364,75,-11.38,43.28,1554217200,88,78.8,Mitsamiouli,KM,9.17
365,12,15.79,120.99,1554221139,92,69.62,San Jose,PH,2.48
366,40,64.73,177.51,1554220955,86,26.6,Anadyr,RU,4.47
367,32,11.94,-8.41,1554221387,37,98.6,Kangaba,ML,6.73
368,0,-16.78,-151.5,1554221388,97,84.56,Tevaitoa,PF,9.98
369,76,-9.43,159.96,1554221353,100,74.84,Honiara,SB,0.36
370,0,-26.65,15.16,1554221221,77,64.31,Luderitz,NA,11.21
